pair,pool_a,pool_b,ips_a,ips_b,est_pool_a,est_pool_b,ip_overlap_count,ip_overlap_pct_of_smaller,adjusted_ip_overlap_count,adjusted_ip_overlap_pct_of_smaller,subnets_a,subnets_b,subnet_overlap_count,subnet_overlap_pct_of_smaller,adjusted_subnet_overlap_count,adjusted_subnet_overlap_pct_of_smaller,chao_sorensen_pct,median_connect_ms_diff
novproxy vs webshare,novproxy,webshare,55431,79044,59998,91368,7498,13.5,9381,15.6,40511,63025,12124,29.9,15169,34.6,13.0,11.4
ghostealth vs marsproxies,ghostealth,marsproxies,90213,75914,105316,79738,13713,18.1,16815,21.1,41718,49110,13697,32.8,16796,34.5,18.2,-13.9
iproyal vs lightningproxies,iproyal,lightningproxies,91493,111447,96214,116239,5824,6.4,6388,6.6,52889,89863,17026,32.2,18674,33.6,6.3,37.0
novproxy vs proxyon,novproxy,proxyon,55431,33419,59998,37397,6427,19.2,7785,20.8,40511,28536,8660,30.3,10489,32.8,14.7,-6.8
proxybase vs shifter,proxybase,shifter,32296,180875,35130,192845,481,1.5,558,1.6,28296,128511,8124,28.7,9422,30.6,0.6,-168.3
proxy-seller vs proxybase,proxy-seller,proxybase,174107,32296,185889,35130,437,1.4,508,1.4,125667,28296,7805,27.6,9064,29.4,0.6,96.6
ipnproxy vs novproxy,ipnproxy,novproxy,112362,55431,127022,59998,6260,11.3,7660,12.8,50788,40511,10310,25.4,12615,28.8,7.7,-75.5
lightningproxies vs novproxy,lightningproxies,novproxy,111447,55431,116239,59998,3003,5.4,3390,5.7,89863,40511,10978,27.1,12393,28.3,3.7,-40.4
nodemaven vs proxybase,nodemaven,proxybase,137971,32296,154448,35130,391,1.2,476,1.4,107770,28296,7071,25.0,8610,28.0,0.6,128.1
dataimpulse vs novproxy,dataimpulse,novproxy,98591,55431,104047,59998,6768,12.2,7731,12.9,51069,40511,10702,26.4,12225,27.9,9.0,-1.4
novproxy vs redscrape,novproxy,redscrape,55431,18924,59998,19727,2099,11.1,2368,12.0,40511,16717,4002,23.9,4515,25.9,5.6,-3.8
proxybase vs thordata,proxybase,thordata,32296,113891,35130,122700,1295,4.0,1518,4.3,28296,88210,6585,23.3,7717,25.1,2.5,-141.5
ghostealth vs novproxy,ghostealth,novproxy,90213,55431,105316,59998,5079,9.2,6418,10.7,41718,40511,8663,21.4,10947,25.0,7.3,-87.4
iproyal vs rayobyte,iproyal,rayobyte,91493,49671,96214,55307,2366,4.8,2770,5.0,52889,35346,7855,22.2,9198,23.4,4.1,18.7
marsproxies vs rayobyte,marsproxies,rayobyte,75914,49671,79738,55307,2432,4.9,2844,5.1,49110,35346,7678,21.7,8980,22.8,4.9,-57.9
ipnproxy vs rayobyte,ipnproxy,rayobyte,112362,49671,127022,55307,1732,3.5,2180,3.9,50788,35346,6944,19.6,8741,22.2,2.5,-59.0
lightningproxies vs proxybase,lightningproxies,proxybase,111447,32296,116239,35130,360,1.1,408,1.2,89863,28296,5951,21.0,6752,21.9,0.7,132.6
proxidize vs proxybase,proxidize,proxybase,162375,32296,175796,35130,1077,3.3,1268,3.6,78124,28296,5695,20.1,6707,21.8,1.3,167.4
dataimpulse vs rayobyte,dataimpulse,rayobyte,98591,49671,104047,55307,1341,2.7,1576,2.8,51069,35346,6979,19.7,8201,20.8,2.1,9.5
proxybase vs webshare,proxybase,webshare,32296,79044,35130,91368,855,2.6,1075,3.1,28296,63025,4907,17.3,6170,20.0,2.4,-157.6
ghostealth vs rayobyte,ghostealth,rayobyte,90213,49671,105316,55307,1405,2.8,1826,3.3,41718,35346,5956,16.9,7742,19.7,2.4,-74.5
proxybase vs redscrape,proxybase,redscrape,32296,18924,35130,19727,1748,9.2,1982,10.0,28296,16717,2936,17.6,3329,19.1,6.0,-170.7
rayobyte vs redscrape,rayobyte,redscrape,49671,18924,55307,19727,337,1.8,391,2.0,35346,16717,2574,15.4,2988,17.1,1.0,-20.8
iproyal vs novproxy,iproyal,novproxy,91493,55431,96214,59998,679,1.2,773,1.3,52889,40511,6467,16.0,7361,16.8,0.9,4.2
ipnproxy vs proxybase,ipnproxy,proxybase,112362,32296,127022,35130,902,2.8,1109,3.2,50788,28296,4013,14.2,4935,16.0,1.5,90.7
marsproxies vs novproxy,marsproxies,novproxy,75914,55431,79738,59998,649,1.2,738,1.2,49110,40511,6141,15.2,6982,15.9,1.0,-73.6
dataimpulse vs proxybase,dataimpulse,proxybase,98591,32296,104047,35130,713,2.2,818,2.3,51069,28296,3992,14.1,4583,14.9,1.2,165.2
iproyal vs proxybase,iproyal,proxybase,91493,32296,96214,35130,555,1.7,635,1.8,52889,28296,3947,13.9,4515,14.7,1.0,171.5
ghostealth vs proxybase,ghostealth,proxybase,90213,32296,105316,35130,716,2.2,909,2.6,41718,28296,3429,12.1,4354,14.1,1.4,79.0
marsproxies vs proxybase,marsproxies,proxybase,75914,32296,79738,35130,564,1.7,644,1.8,49110,28296,3784,13.4,4323,14.0,1.1,93.1
novproxy vs rayobyte,novproxy,rayobyte,55431,49671,59998,55307,306,0.6,369,0.7,40511,35346,4557,12.9,5492,14.0,0.7,17.9
novproxy vs proxybase,novproxy,proxybase,55431,32296,59998,35130,250,0.8,294,0.8,40511,28296,2997,10.6,3529,11.5,0.7,166.5
proxybase vs rayobyte,proxybase,rayobyte,32296,49671,35130,55307,361,1.1,437,1.2,28296,35346,2787,9.8,3375,11.0,1.3,-149.5
proxybase vs proxyon,proxybase,proxyon,32296,33419,35130,37397,468,1.4,570,1.6,28296,28536,2509,8.9,3054,9.9,1.7,-173.2
